name,rating,review_count,price_level,lat,lng
11:11 Coffee Lounge,4.9,64.0,2.0,27.717405,85.32618
Cinnamon Garden Cafe & Restaurant,4.8,228.0,2.0,27.713297,85.322149
Bikers Cafe (Himalayan Java) - Naxal,4.4,204.0,2.0,27.715241,85.326164
Apricus Garden Restaurant,4.7,1379.0,2.0,27.716212,85.332595
Salon De Kathmandu Cafe & Bistro,4.3,625.0,2.0,27.72131,85.321008
Javazza,4.9,23.0,2.0,27.717546,85.327945
Somewhere In Ktm,4.1,247.0,2.0,27.71574,85.324442
Mazzaako Cafe,4.1,227.0,2.0,27.718705,85.328119
Mug & Beans,4.5,80.0,2.0,27.717297,85.327787
21 Coffee House (Nagpokhari),4.2,30.0,2.0,27.71369,85.32457
Chiyasiya Gairidhara,4.4,32.0,2.0,27.717642,85.327083
The White Lotus (Gairidhara),4.5,67.0,2.0,27.717438,85.328565
Spark Cafe,4.9,28.0,2.0,27.717841,85.327328
Dabali @ Nagpokhari Cafe,4.0,71.0,2.0,27.71369,85.324516
Cafe Deja Vu Naxal,5.0,4.0,2.0,27.716111,85.325526
Himalayan Java (Naxal/Bhatbhateni),4.5,845.0,2.0,27.7189,85.3315
Roadhouse Cafe (Bhatbhateni),4.4,1469.0,2.0,27.720079,85.331532
Coffee Tea & Me (Naxal),4.4,128.0,2.0,27.7185,85.328
Redmud Coffee (Gairidhara),4.1,154.0,2.0,27.717,85.3275
Everest Coffee Naxal,4.3,42.0,2.0,27.7165,85.329
Bakehouse Naxal,4.2,315.0,2.0,27.7158,85.325
Gairidhara Restaurant & Bar,3.7,82.0,2.0,27.716371,85.328476
Michael Grills,4.1,146.0,2.0,27.717279,85.327621
Himalayan Coffee Trading,4.5,62.0,2.0,27.718612,85.328142
Nina'S (Naxal),4.5,1245.0,2.0,27.717004,85.327423
The Workshop Eatery,4.4,2108.0,2.0,27.714412,85.328315
Barista Lavazza (Naxal),4.2,456.0,2.0,27.718423,85.3281
The Urvin'S Garden Restaurant,4.6,1349.0,2.0,27.719543,85.331689
Cuppas Naxal,4.1,325.0,2.0,27.71531,85.32684
Local Thakali (Gairidhara),4.8,5935.0,2.0,27.717499,85.328909
Belle Ville Cafe & Pub,4.1,270.0,2.0,27.71953,85.32631
Coffee Station (Naxal),4.4,85.0,2.0,27.71665,85.32851
Beans And Burgers (Naxal),4.3,112.0,2.0,27.716515,85.32754
Prestige Cafe,4.6,45.0,2.0,27.71602,85.32651
The Local Cafe,4.3,62.0,2.0,27.71682,85.32924
Achaar Ghar Kamalpokhari,4.6,777.0,2.0,27.711351,85.323273
Lisara Restaurant & Cafe,3.9,99.0,2.0,27.711648,85.328073
Everest Fast Food Cafe,3.8,20.0,1.0,27.719095,85.331527
Yellow Cafe Gairidhara,4.2,54.0,2.0,27.71801,85.32723
Al Barakah Cafe Señor Halal,4.9,55.0,2.0,27.717423,85.325209
Cafe Imago,4.3,279.0,2.0,27.716172,85.324722
Himalayan Java Coffee - Hattisar,4.3,380.0,2.0,27.710036,85.322064
Warehouse | Cafe,3.9,68.0,2.0,27.710937,85.321878
Taylor'S Cafe,4.1,29.0,2.0,27.712574,85.32942
Yarcha Coffee Hub & Pub,3.2,17.0,2.0,27.713166,85.323967
Cafe De Expert,5.0,18.0,2.0,27.71602,85.325489
Serenity Cafe,4.7,3.0,2.0,27.715178,85.32438
Central Cafe & Tandoori,4.5,33.0,2.0,27.710735,85.322081
Cafe Kalash And Mo:Mo: Ghar,4.0,3.0,1.0,27.71179,85.326329
Ascension Lounge & Bakery,4.0,2.0,2.0,27.715877,85.325451
Barrack Lounge (Rooftop),5.0,5.0,2.0,27.717323,85.326692
Jack Station (Gairidhara),4.7,9.0,2.0,27.71749,85.327317
1905 Suites & Restaurant,4.2,699.0,3.0,27.714524,85.324938
Kaffe Codes (Gairidhara),4.8,42.0,2.0,27.71833,85.32712
Mocha Pot (Hattisar),4.2,156.0,2.0,27.7135,85.3232
Beans Of Life Cafe (Naxal),4.9,151.0,2.0,27.718342,85.328331
