name,rating,review_count,price_level,lat,lng
11:11 Coffee Lounge,4.9,64,2,27.717405,85.326180
Cinnamon Garden Cafe & Restaurant,4.8,228,2,27.713297,85.322149
Bikers Cafe (Himalayan Java) - Naxal,4.4,204,2,27.715241,85.326164
Apricus Garden Restaurant,4.7,1379,2,27.716212,85.332595
Salon de Kathmandu Cafe & Bistro,4.3,625,2,27.721310,85.321008
Javazza,4.9,23,2,27.717546,85.327945
Somewhere In KTM,4.1,247,2,27.715740,85.324442
Mazzaako Cafe,4.1,227,2,27.718705,85.328119
Mug & Beans,4.5,80,2,27.717297,85.327787
21 Coffee House (Nagpokhari),4.2,30,2,27.713690,85.324570
Chiyasiya Gairidhara,4.4,32,2,27.717642,85.327083
The White Lotus (Gairidhara),4.5,67,2,27.717438,85.328565
Spark Cafe,4.9,28,2,27.717841,85.327328
Dabali @ Nagpokhari Cafe,4.0,71,2,27.713690,85.324516
Cafe Deja Vu Naxal,5.0,4,2,27.716111,85.325526
Himalayan Java (Naxal/Bhatbhateni),4.5,845,2,27.718900,85.331500
Roadhouse Cafe (Bhatbhateni),4.4,1469,2,27.720079,85.331532
Coffee Tea & Me (Naxal),4.4,128,2,27.718500,85.328000
Redmud Coffee (Gairidhara),4.1,154,2,27.717000,85.327500
Everest Coffee Naxal,4.3,42,2,27.716500,85.329000
Bakehouse Naxal,4.2,315,2,27.715800,85.325000
Gairidhara Restaurant & Bar,3.7,82,2,27.716371,85.328476
Michael Grills,4.1,146,2,27.717279,85.327621
Himalayan Coffee Trading,4.5,62,2,27.718612,85.328142
Nina's (Naxal),4.5,1245,2,27.717004,85.327423
The Workshop Eatery,4.4,2108,2,27.714412,85.328315
Barista Lavazza (Naxal),4.2,456,2,27.718423,85.328100
The Urvin's Garden Restaurant,4.6,1349,2,27.719543,85.331689
Cuppas Naxal,4.1,325,2,27.715310,85.326840
Local Thakali (Gairidhara),4.8,5935,2,27.717499,85.328909
Belle Ville Cafe & Pub,4.1,270,2,27.719530,85.326310
Coffee Station (Naxal),4.4,85,2,27.716650,85.328510
Beans and Burgers (Naxal),4.3,112,2,27.716515,85.327540
Prestige Cafe,4.6,45,2,27.716020,85.326510
The Local Cafe,4.3,62,2,27.716820,85.329240
Achaar Ghar Kamalpokhari,4.6,777,2,27.711351,85.323273
Lisara Restaurant & Cafe,3.9,99,2,27.711648,85.328073
Everest Fast Food Cafe,3.8,20,1,27.719095,85.331527
Yellow Cafe Gairidhara,4.2,54,2,27.718010,85.327230
AL BARAKAH cafe señor halal,4.9,55,2,27.717423,85.325209
Cafe Imago,4.3,279,2,27.716172,85.324722
Himalayan Java Coffee - Hattisar,4.3,380,2,27.710036,85.322064
Warehouse | Cafe,3.9,68,2,27.710937,85.321878
Taylor's Cafe,4.1,29,2,27.712574,85.329420
Yarcha Coffee Hub & Pub,3.2,17,2,27.713166,85.323967
Cafe De Expert,5.0,18,2,27.716020,85.325489
Serenity Cafe,4.7,3,2,27.715178,85.324380
Central Cafe & Tandoori,4.5,33,2,27.710735,85.322081
Cafe Kalash and Mo:Mo: Ghar,4.0,3,1,27.711790,85.326329
Ascension Lounge & Bakery,4.0,2,2,27.715877,85.325451
Barrack Lounge (Rooftop),5.0,5,2,27.717323,85.326692
Jack Station (Gairidhara),4.7,9,2,27.717490,85.327317
1905 Suites & Restaurant,4.2,699,3,27.714524,85.324938
Kaffe Codes (Gairidhara),4.8,42,2,27.718330,85.327120
Mocha Pot (Hattisar),4.2,156,2,27.713500,85.323200
Beans of Life Cafe (Naxal),4.9,151,2,27.718342,85.328331
The Nook (Kathmandu Marriott),4.3,114,3,27.714539,85.326514
Alice Cafeteria (Naxal),4.1,867,2,27.717291,85.329432
Fit & Fresh (Naxal),4.7,34,2,27.716121,85.328409
Daura Thakali (Gairidhara),4.5,781,2,27.719203,85.328786
Paradise Garden Restaurant,4.0,383,2,27.719698,85.327030
The Courtyard (Naxal),4.6,12,2,27.716421,85.325603
Bake & Brew (Naxal),4.2,315,2,27.715842,85.325017
Himalayan Beans (Naxal),4.1,56,2,27.718921,85.331542
Tama Restaurant & Bar,4.0,2400,2,27.717537,85.328187
Rato Bhale (Gairidhara),4.6,27,2,27.717432,85.326188
Coffee Town (Nagpokhari),4.3,21,2,27.713521,85.324612
Curilo (Naxal),4.3,1645,2,27.717521,85.326832
Flatland Coffee (Naxal),4.8,124,2,27.715542,85.327510
The Crusty Bun (Naxal),4.2,58,2,27.716121,85.328841
The Societe (Naxal),4.4,215,2,27.717142,85.328903
